domain,from,to,n,switches,switch_rate,option_1_to_option_2,option_2_to_option_1,exact_mcnemar_p
aesthetic,none,short,100,7,0.07,3,4,1.0
aesthetic,short,long,100,6,0.06,6,0,0.03125
aesthetic,none,long,100,7,0.07,6,1,0.125
utility,none,short,100,14,0.14,6,8,0.79052734375
utility,short,long,100,21,0.21,21,0,9.5367431640625e-07
utility,none,long,100,19,0.19,19,0,3.814697265625e-06
all,none,short,200,21,0.105,9,12,0.6636238098144531
all,short,long,200,27,0.135,27,0,1.4901161193847656e-08
all,none,long,200,26,0.13,25,1,8.046627044677734e-07
